"location","latitude","longitude","population","area","density","densityClass"
"Levallois-Perret","48.895","2.2872",63643,"2.41",26408,"20000<d<30000"
"Vincennes","48.8478","2.4392",49695,"1.91",26018,"20000<d<30000"
"Saint-Mande","48.8422","2.4186",22946,"0.92",24941,"20000<d<30000"
"Le Pre-Saint-Gervais","48.8833","2.4",17335,"0.7",24764,"20000<d<30000"
"Montrouge","48.8172","2.3219",46800,"2.07",22609,"20000<d<30000"
"Paris","48.8567","2.3508",2229621,"105.4",21154,"20000<d<30000"
"Courbevoie","48.8978","2.2531",87469,"4.17",20976,"20000<d<30000"
"Clichy","48.9044","2.3064",58646,"3.08",19041,"10000<d<20000"
"Boulogne-Billancourt","48.8352","2.2409",117126,"6.17",18983,"10000<d<20000"
"Les Lilas","48.88","2.42",22479,"1.26",17840,"10000<d<20000"
"Asnieres-sur-Seine","48.9108","2.2889",83845,"4.82",17395,"10000<d<20000"
"Vanves","48.8208","2.2897",27127,"1.56",17389,"10000<d<20000"
"Le Kremlin-Bicetre","48.81","2.3581",26018,"1.54",16895,"10000<d<20000"
"Neuilly-sur-Seine","48.8881","2.2686",61754,"3.73",16556,"10000<d<20000"
"La Garenne-Colombes","48.9056","2.2445",28371,"1.78",15939,"10000<d<20000"
"Issy-les-Moulineaux","48.8239","2.27",66166,"4.25",15568,"10000<d<20000"
"Charenton-le-Pont","48.8265","2.405",28679,"1.85",15502,"10000<d<20000"
"Malakoff","48.8169","2.2944",31007,"2.07",14979,"10000<d<20000"
"Gentilly","48.8133","2.3444",17230,"1.18",14602,"10000<d<20000"
"Bois-Colombes","48.9175","2.2683",27793,"1.92",14476,"10000<d<20000"
"Puteaux","48.885","2.2389",44753,"3.19",14029,"10000<d<20000"
"Bagnolet","48.8686","2.41778",35984,"2.57",14002,"10000<d<20000"
"Aubervilliers","48.9131","2.3831",77452,"5.76",13447,"10000<d<20000"
"Alfortville","48.805","2.4239",44371,"3.67",12090,"10000<d<20000"
"Suresnes","48.87","2.22",45039,"3.79",11884,"10000<d<20000"
"Epinay-sur-Seine","48.9553","2.3092",53777,"4.57",11767,"10000<d<20000"
"Montreuil","48.8611","2.4436",103520,"8.92",11605,"10000<d<20000"
"Chatillon","48.8","2.29",32935,"2.92",11279,"10000<d<20000"
"Nogent-sur-Marne","48.8375","2.4833",31276,"2.8",11170,"10000<d<20000"
"Pantin","48.8966","2.4017",54136,"5.01",10806,"10000<d<20000"
"Saint-Ouen","48.9","2.3333",46510,"4.31",10791,"10000<d<20000"
"Bourg-la-Reine","48.7796","2.3151",19906,"1.86",10702,"10000<d<20000"
"Colombes","48.9236","2.2522",83220,"7.81",10656,"10000<d<20000"
"Lyon","45.76","4.84",500715,"47.87",10460,"10000<d<20000"
"Saint-Maurice","48.8156","2.4592",14718,"1.43",10292,"10000<d<20000"
"Villeurbanne","45.7667","4.8803",146282,"14.52",10075,"10000<d<20000"
"Cachan","48.7919","2.3319",27718,"2.78",9971,"5000<d<10000"
"Villejuif","48.7919","2.3636",53240,"5.34",9970,"5000<d<10000"
"Maisons-Alfort","48.8058","2.4378",53607,"5.38",9964,"5000<d<10000"
"Fontenay-aux-Roses","48.7786","2.2905",24306,"2.51",9684,"5000<d<10000"
"Bondy","48.9022","2.4828",52865,"5.47",9665,"5000<d<10000"
"Ivry-sur-Seine","48.8078","2.3747",58579,"6.1",9603,"5000<d<10000"
"Fontenay-sous-Bois","48.8517","2.4772",53124,"5.58",9520,"5000<d<10000"
"Bagneux","48.7983","2.3137",38890,"4.19",9282,"5000<d<10000"
"Saint-Denis","48.9356","2.3539",109408,"12.36",8852,"5000<d<10000"
"Grenoble","45.2002","5.7222",162780,"18.44",8828,"5000<d<10000"
"Drancy","48.93","2.45",68241,"7.76",8794,"5000<d<10000"
"Saint-Gratien","48.9719","2.2828",20772,"2.42",8583,"5000<d<10000"
"Planoise","47.2214","5.9681",21000,"2.5",8400,"5000<d<10000"
"Arcueil","48.8075","2.3361",19548,"2.33",8390,"5000<d<10000"
"Pierrefitte-sur-Seine","48.9656","2.3614",28277,"3.41",8292,"5000<d<10000"
"L'Hay-les-Roses","48.7727","2.3363",31498,"3.8",8289,"5000<d<10000"
"Le-Perreux-sur-Marne","48.8422","2.5036",32389,"3.96",8179,"5000<d<10000"
"Creteil","48.7911","2.4628",90197,"11.43",7891,"5000<d<10000"
"La Madeleine","50.6558","3.071",22399,"2.84",7887,"5000<d<10000"
"Mons-en-Barœul","50.633","3.117",22360,"2.88",7764,"5000<d<10000"
"Noisy-le-Sec","48.8894","2.4503",39066,"5.04",7751,"5000<d<10000"
"Le Plessis-Robinson","48.7811","2.2633",26581,"3.43",7750,"5000<d<10000"
"Villeneuve-la-Garenne","48.9372","2.3278",24706,"3.2",7721,"5000<d<10000"
"Garges-les-Gonesse","48.9728","2.4008",41782,"5.47",7638,"5000<d<10000"
"Joinville-le-Pont","48.8214","2.4728",17420,"2.3",7574,"5000<d<10000"
"Clichy-sous-Bois","48.9097","2.54806",29750,"3.95",7532,"5000<d<10000"
"Romainville","48.884","2.435",25783,"3.44",7495,"5000<d<10000"
"Nanterre","48.8988","2.1969",90903,"12.19",7457,"5000<d<10000"
"Bobigny","48.9106","2.4397",49802,"6.77",7356,"5000<d<10000"
"Vitry-sur-Seine","48.7875","2.3928",84369,"11.67",7230,"5000<d<10000"
"Roubaix","50.6901","3.18167",94536,"13.23",7146,"5000<d<10000"
"Le Chesnay","48.8211","2.1311",30227,"4.24",7129,"5000<d<10000"
"Les-Pavillons-sous-Bois","48.9","2.5",20644,"2.92",7070,"5000<d<10000"
"Fresnes","48.755","2.3221",25312,"3.58",7070,"5000<d<10000"
"Villemomble","48.8833","2.5",28562,"4.04",7070,"5000<d<10000"
"Rosny-sous-Bois","48.8667","2.4833",41565,"5.91",7033,"5000<d<10000"
"Houilles","48.9261","2.1892",31142,"4.43",7030,"5000<d<10000"
"Sarcelles","48.9956","2.3808",59221,"8.45",7008,"5000<d<10000"
"Nancy","48.6936","6.1846",105067,"15.01",7000,"5000<d<10000"
"Choisy-le-Roi","48.763","2.409",37486,"5.43",6903,"5000<d<10000"
"Sevran","48.9333","2.5333",49807,"7.28",6842,"5000<d<10000"
"Bezons","48.9261","2.2178",28192,"4.16",6777,"5000<d<10000"
"Garches","48.8461","2.1889",18196,"2.69",6764,"5000<d<10000"
"Ermont","48.9922","2.2603",28021,"4.16",6736,"5000<d<10000"
"Champigny-sur-Marne","48.8172","2.5156",75556,"11.3",6686,"5000<d<10000"
"Annemasse","46.1958","6.2364",33166,"4.98",6660,"5000<d<10000"
"Saint-Maur-des-Fosses","48.7994","2.4997",74816,"11.25",6650,"5000<d<10000"
"Lille","50.6278","3.0583",228652,"34.8",6570,"5000<d<10000"
"Villiers-sur-Marne","48.8275","2.5447",28190,"4.33",6510,"5000<d<10000"
